1384,630560
1465,552470
1874,561356
1808,510238
1360,483250
1797,627702
1815,558012
1985,651835
1928,658333
1898,591451
1598,289579
1506,592309
1600,306686
1792,188055
1689,511542
1906,72738
1794,629094
1813,522875
1680,331408
1907,598463
1758,559116
1442,742332
1864,159441
1866,676232
1952,653897
1624,338412
1714,189732
1796,557399
1453,539648
1719,509437
1789,204110
1980,661728
1796,580622
1477,605193
1483,495094
1814,411066
1839,652716
1851,469479
1782,473781
1795,603069
1990,402392
1950,375291
1966,379989
1758,583503
1673,553857
1714,378398
1926,573661
1714,336867
1714,315869
1794,566042
1495,499749
1598,327560
1292,784927
1547,270914
1372,559285
1993,585566
1507,738042
1727,529406
1680,321642
1844,350751
1878,349230
1693,200653
1428,444435
1857,704375
1838,540336
1886,357177
1908,611817
1872,675477
1347,513221
1925,654920
1614,454183
1666,312924
1825,567607
1389,686930
1466,412627
1796,625730
1366,753154
1650,582165
1792,347786
1878,407520
1780,372030
1598,308337
1465,550836
1482,435429
1972,382671
1674,601312
1659,814195
1843,695554
1791,216454
1666,485839
1796,747214
1974,593487
1807,646367
1872,512754
1770,804295
1505,862361
1990,537296
1842,525950
1626,543041
1916,120452
1689,678142
1775,879555
1841,680752
1891,758229
1712,486857
1680,752411
1905,698648
1549,726694
1930,549426
1925,796746
1856,748525
1828,635538
1796,585139
1880,565119
1840,565336
1540,277397
1920,354190
1925,667491
1894,646202
1796,769750
1970,777495
1934,795252
1506,743750
1791,253908
1321,1084023
1870,232920
1886,476951
1685,841138
1727,718563
1726,833845
1719,735919
1514,673958
1942,719104
1840,353623
1716,424982
1859,679594
1858,712659
1727,609818
1727,549547
1962,753379
1630,566996
1547,280267
1844,665175
1808,715589
1514,691411
1823,681521
1788,560022
1844,907250
1810,904135
1841,669208
1916,519071
1777,952869
1962,628341
1988,584270
1714,535996
1888,609028
1794,736493
1706,725093
1794,718419
1598,480848
1790,784925
1794,807670
1541,378110
1757,767832
1807,687351
1791,333870
1796,848983
1498,602576
1514,522476
1796,762884
1869,760243
1990,642593
1894,532163
1514,583917
1839,584719
1458,510923
1796,622352
1880,418998
1430,844715
1794,714515
1772,464158
1598,341966
1952,346994
1792,203892
1809,585919
1692,567439
